Tanggal;Kurs_Penutupan_USD_IDR;Log_Return
9/2/2022 23:58:00;14867,3;-0,002337972
9/5/2022 23:58:00;14882,3;0,001008417
9/6/2022 23:58:00;14904;0,001457046
9/7/2022 23:58:00;14865,3;-0,002599995
9/8/2022 23:58:00;14892,3;0,001814663
9/9/2022 23:58:00;14824,8;-0,004542847
9/12/2022 23:58:00;14858,7;0,002284098
9/13/2022 23:58:00;14954,9;0,006453453
9/14/2022 23:58:00;14915;-0,002671587
9/15/2022 23:58:00;14933,6;0,00124629
9/16/2022 23:58:00;14993,6;0,004009736
9/19/2022 23:58:00;14985,8;-0,000520357
9/20/2022 23:58:00;15008,6;0,001520284
9/21/2022 23:58:00;15019;0,000692696
9/22/2022 23:58:00;15026,6;0,000505898
9/23/2022 23:58:00;15089,1;0,004150665
9/26/2022 23:58:00;15204;0,007585922
9/27/2022 23:58:00;15167,2;-0,00242335
9/28/2022 23:58:00;15175,3;0,000533905
9/29/2022 23:58:00;15175,2;-6,58968E-06
9/30/2022 23:58:00;15303,1;0,008392906
10/3/2022 23:58:00;15290;-0,000856402
10/4/2022 23:58:00;15180;-0,007220248
10/5/2022 23:58:00;15206,7;0,001757348
10/6/2022 23:58:00;15215,8;0,000598241
10/7/2022 23:58:00;15285,1;0,004544136
10/10/2022 23:58:00;15343;0,003780846
10/11/2022 23:58:00;15338,5;-0,000293336
10/12/2022 23:58:00;15318,6;-0,001298231
10/13/2022 23:58:00;15364;0,002959334
10/14/2022 23:58:00;15462,2;0,006371225
10/17/2022 23:58:00;15441,4;-0,001346122
10/18/2022 23:58:00;15466,2;0,001604784
10/19/2022 23:58:00;15620;0,009895147
10/20/2022 23:58:00;15562;-0,003720099
10/21/2022 23:58:00;15522,2;-0,002560788
10/24/2022 23:58:00;15586,5;0,004133898
10/25/2022 23:58:00;15549;-0,002408827
10/26/2022 23:58:00;15502,7;-0,002982126
10/27/2022 23:58:00;15554,2;0,003316496
10/28/2022 23:58:00;15549,2;-0,000321508
10/31/2022 23:58:00;15649;0,006397827
11/1/2022 23:58:00;15690;0,00261655
11/2/2022 23:58:00;15696;0,000382336
11/3/2022 23:58:00;15780;0,005337413
11/4/2022 23:58:00;15609,4;-0,010870019
11/7/2022 23:58:00;15675;0,00419379
11/8/2022 23:58:00;15645;-0,001915709
